(-312.659, -16.43, 0.0)|(-339.3534, -18.8599, 0.0);(-306.4585, -31.0248, 0.0);(-294.5585, -14.7466, 0.0);(-304.4659, -3.1216, 0.0)
(-268.8993, -12.428, 0.0)|(-294.5585, -14.7466, 0.0);(-241.5481, -9.9823, 0.0);(-274.5432, -25.4823, 0.0)
(-241.5481, -9.9823, 0.0)|(-268.8993, -12.428, 0.0);(-242.7838, 2.8497, 0.0);(-217.6812, -0.7077, 0.0)
(-180.1332, -5.0591, 0.0)|(-196.3636, -20.1145, 0.0);(-217.6812, -0.7077, 0.0);(-163.2571, -6.3614, 0.0);(-179.4541, 10.1392, 0.0)
(-346.7395, 541.7863, 0.0)|(-311.0226, 602.901, 0.0);(-393.5716, 491.6465, 0.0);(-312.954, 524.7606, 0.0);(-395.2525, 467.2199, 0.0)
(-311.0226, 602.901, 0.0)|(-346.7395, 541.7863, 0.0);(-299.5567, 619.0135, 0.0);(-393.5716, 491.6465, 0.0);(-440.0308, 693.9623, 0.0);(-309.7758, 627.1612, 0.0);(-200.4935, 541.3495, 0.0);(-287.3784, 613.7327, 0.0)
(-299.5567, 619.0135, 0.0)|(-311.0226, 602.901, 0.0);(-309.7758, 627.1612, 0.0);(-287.3784, 613.7327, 0.0);(-210.4288, 733.7559, 0.0)
(-192.8013, 744.8577, 0.0)|(-180.7399, 736.837, 0.0);(-210.4288, 733.7559, 0.0);(-203.655, 758.1911, 0.0);(-163.9891, 792.6761, 0.0)
(660.2399, -488.0086, 0.0)|(667.7317, -500.2285, 0.0);(650.3882, -502.9996, 0.0);(594.6895, -444.2502, 0.0)
(667.7317, -500.2285, 0.0)|(660.2399, -488.0086, 0.0);(667.2197, -474.6056, 0.0);(704.9124, -517.9112, 0.0);(686.7117, -525.9942, 0.0);(650.3882, -502.9996, 0.0);(653.2045, -521.6113, 0.0);(705.1685, -533.3309, 0.0)
(-1655.1466, 864.3836, 0.0)|(-1688.6235, 849.3097, 0.0);(-1558.9976, 877.3268, 0.0)
(-1536.5277, 871.6566, 0.0)|(-1524.2882, 874.2853, 0.0);(-1558.9976, 877.3268, 0.0)
(-1524.2882, 874.2853, 0.0)|(-1536.5277, 871.6566, 0.0);(-1502.7645, 874.722, 0.0);(-1484.7625, 865.7563, 0.0)
(-1464.2703, 854.5351, 0.0)|(-1455.9658, 839.7324, 0.0);(-1451.1458, 858.744, 0.0);(-1484.7625, 865.7563, 0.0)
(41.4733, -883.6223, 0.0)|(4.9466, -866.4921, 0.0);(33.0771, -895.4565, 0.0);(56.8883, -903.8886, 0.0);(58.3967, -861.7679, 0.0);(-30.0522, -830.3262, 0.0)
(-15.3135, -91.6905, 0.0)|(-101.8756, -186.9603, 0.0);(-0.3077, -80.6214, 0.0);(-26.0559, -80.9232, 0.0);(-112.1615, -230.4578, 0.0);(17.9821, -102.299, 0.0)
(-1566.0386, 927.0399, 0.0)|(-1476.4041, 928.5488, 0.0);(-1566.1221, 941.3715, 0.0);(-1556.2091, 916.0649, 0.0)
(-476.5621, 356.9676, 0.0)|(-482.7107, 345.0642, 0.0);(-414.0822, 290.022, 0.0);(-395.2525, 467.2199, 0.0);(-511.9362, 382.2773, 0.0);(-498.8631, 358.7543, 0.0);(-393.0317, 306.2491, 0.0);(-471.4952, 410.4022, 0.0)
(732.119, -124.5007, 0.0)|(756.6426, -87.6885, 0.0);(756.6426, -141.398, 0.0);(718.0704, -122.8967, 0.0)
(443.4564, 130.3925, 0.0)|(414.8473, 88.148, 0.0);(491.9304, 101.7266, 0.0);(457.6162, 145.591, 0.0);(376.7148, 193.9978, 0.0);(310.3813, 233.2173, 0.0)
(466.878, -185.9518, 0.0)|(413.2665, -154.5792, 0.0);(554.6033, -246.4259, 0.0);(503.2572, -136.8878, 0.0);(373.9819, -120.7924, 0.0)
(503.2572, -136.8878, 0.0)|(457.3379, -105.6341, 0.0);(521.636, -149.4179, 0.0);(466.878, -185.9518, 0.0)
(562.7686, 55.6548, 0.0)|(644.3769, -0.0248, 0.0);(526.9571, 3.342, 0.0);(510.0031, 81.1126, 0.0);(716.6567, -60.1349, 0.0)
(526.9571, 3.342, 0.0)|(685.6765, -105.1417, 0.0);(562.7686, 55.6548, 0.0);(492.9991, -48.5337, 0.0)
(492.9991, -48.5337, 0.0)|(457.3379, -105.6341, 0.0);(444.1243, -21.0356, 0.0);(557.5421, -92.6831, 0.0);(661.0637, -147.7821, 0.0);(455.2228, -7.2666, 0.0);(526.9571, 3.342, 0.0)
(457.3379, -105.6341, 0.0)|(492.9991, -48.5337, 0.0);(503.2572, -136.8878, 0.0)
(521.636, -149.4179, 0.0)|(503.2572, -136.8878, 0.0);(583.0399, -190.47, 0.0);(557.5421, -92.6831, 0.0)
(631.8868, -221.644, 0.0)|(583.0399, -190.47, 0.0);(594.2275, -267.5235, 0.0)
(718.0704, -122.8967, 0.0)|(732.119, -124.5007, 0.0)
(414.8473, 88.148, 0.0)|(284.648, 175.9246, 0.0);(443.4564, 130.3925, 0.0);(383.1768, 40.5676, 0.0)
(284.648, 175.9246, 0.0)|(414.8473, 88.148, 0.0);(268.5957, 187.1131, 0.0);(249.2873, 140.0166, 0.0);(310.3813, 233.2173, 0.0)
(268.5957, 187.1131, 0.0)|(284.648, 175.9246, 0.0);(179.4288, 248.821, 0.0);(249.2873, 140.0166, 0.0);(310.3813, 233.2173, 0.0);(234.5097, 144.6064, 0.0);(293.3309, 244.5449, 0.0)
(179.4288, 248.821, 0.0)|(148.148, 201.7321, 0.0);(268.5957, 187.1131, 0.0)
(95.7722, -15.5883, 0.0)|(106.6926, 1.4204, 0.0);(69.8904, 2.1112, 0.0);(138.6942, -44.2041, 0.0)
