CAMERA;(22.743046, -25.152658, 7.215627);(79.333289, -0.000101, -318.866753);(83.974423, 0.100000, 100.000000);(960, 540);(1.709229, 1.709229)
OBJECT;5;(7.500001, 0.000002, -12.990379);(2.732051, 2.000001, 2.732052);(0.000000, 0.000000, 0.000000)
OBJECT;5;(5.130304, 0.000002, -14.095388);(2.563426, 2.000002, 2.563427);(0.000000, 0.000000, 0.000000)
OBJECT;5;(2.604726, 0.000002, -14.772117);(2.316912, 2.000001, 2.316913);(0.000000, 0.000000, 0.000000)
OBJECT;5;(0.000003, 0.000002, -14.999999);(2.000000, 2.000001, 2.000001);(0.000000, 0.000000, 0.000000)
OBJECT;5;(-2.604720, 0.000002, -14.772116);(2.316912, 2.000001, 2.316913);(0.000000, 0.000000, 0.000000)
OBJECT;5;(-5.130301, 0.000002, -14.095389);(2.563426, 2.000001, 2.563426);(0.000000, 0.000000, 0.000000)
OBJECT;5;(-7.499999, 0.000002, -12.990381);(2.732052, 2.000001, 2.732052);(0.000000, 0.000000, 0.000000)
OBJECT;5;(-9.641811, 0.000002, -11.490667);(2.817665, 2.000001, 2.817665);(0.000000, 0.000000, 0.000000)
OBJECT;5;(-11.490663, 0.000001, -9.641816);(2.817665, 2.000001, 2.817664);(0.000000, 0.000000, 0.000000)
OBJECT;5;(-12.990378, 0.000001, -7.500002);(2.732051, 2.000001, 2.732051);(0.000000, 0.000000, 0.000000)
OBJECT;5;(-14.095388, 0.000001, -5.130303);(2.563426, 2.000001, 2.563426);(0.000000, 0.000000, 0.000000)
OBJECT;5;(-14.772115, 0.000000, -2.604725);(2.316911, 2.000001, 2.316911);(0.000000, 0.000000, 0.000000)
OBJECT;5;(-14.999998, 0.000000, -0.000004);(2.000001, 2.000001, 2.000000);(0.000000, 0.000000, 0.000000)
OBJECT;5;(-0.000001, 14.095389, 5.130302);(2.000000, 2.563426, 2.563426);(0.000000, 0.000000, 0.000000)
OBJECT;5;(-0.000001, 12.990381, 7.500000);(2.000000, 2.732051, 2.732051);(0.000000, 0.000000, 0.000000)
OBJECT;5;(-0.000001, 11.490666, 9.641813);(2.000001, 2.817665, 2.817665);(0.000000, 0.000000, 0.000000)
OBJECT;5;(-0.000002, 9.641814, 11.490666);(2.000001, 2.817664, 2.817665);(0.000000, 0.000000, 0.000000)
OBJECT;5;(-0.000002, 7.500000, 12.990380);(2.000000, 2.732051, 2.732051);(0.000000, 0.000000, 0.000000)
OBJECT;5;(-0.000002, 5.130302, 14.095388);(2.000000, 2.563426, 2.563426);(0.000000, 0.000000, 0.000000)
